"visit_date","utm_source","utm_medium","utm_campaign","visitors_count","total_cost","leads_count","purchases_count","revenue"
"01.06.2023",yandex,cpc,freemium,132,21654,69,16,1152068
"01.06.2023",yandex,cpc,prof-frontend,97,57138,55,8,623451
"01.06.2023",yandex,cpc,prof-python,85,33026,44,3,239359
"01.06.2023",vk,cpc,prof-java,87,3115,21,2,232726
"01.06.2023",yandex,cpc,prof-data-analytics,17,10086,11,2,220264
"01.06.2023",yandex,cpc,base-python,37,12524,19,3,208875
"01.06.2023",yandex,cpc,base-frontend,54,18061,28,1,201150
"01.06.2023",vk,cpc,freemium-frontend,130,3160,29,2,103307
"01.06.2023",vk,cpc,prof-python,99,2028,30,2,94023
"01.06.2023",yandex,cpc,prof-java,64,29490,33,1,80136
"01.06.2023",yandex,cpc,prof-professions-brand,25,4818,9,1,79155
"01.06.2023",yandex,cpc,base-java,26,19252,13,1,48000
"01.06.2023",vk,cpc,base-python,90,2537,28,1,9072
"01.06.2023",vk,cpc,prof-data-analytics,77,1072,25,0,0
"01.06.2023",vk,cpc,freemium-java,76,487,18,0,0
